elora2007								
1	8.5	-0.6	0.06	6.3	2.16	90.81		
2	3.5	-1	0	4.02	5	85.68		
3	5.9	-0.9	0.08	5.87	7.38	87.92		
4	8.1	1.9	1.01	6.26	5.44	90.37		
5	9	6.3	0.53	3.65	2.34	96.66		
6	8.2	1.1	0.44	4.46	2.45	92.63		
7	1.7	-0.5	0.06	2.81	5.65	90.22		
8	0.9	-2.7	0.45	6.98	2.7	83.92		
9	-1.4	-7.4	0	5.37	5.26	77.5		
10	-5.7	-14.3	0.32	4.93	3.38	71.72		
11	3.9	-12.9	0.07	6.07	5.4	78.42		
12	4.5	0.4	0.53	5.33	2.99	97.46		
13	1.2	-4.4	0	3.4	6.3	83.43		
14	-1.1	-4.1	0.29	2.79	3.42	85.17		
15	-2.5	-7.2	0.97	4.46	2.81	89.9		
16	-7.2	-13	0.15	4.22	8.14	79.16		
17	-5.5	-11.7	0	3.45	7.74	78.38		
18	-1	-9.2	0.18	4.53	7.24	84.69		
19	-1.3	-8.5	0.08	6.4	3.2	86.13		
20	-8.5	-17.6	0.32	4.8	5.08	79.42		
21	-6.8	-17.2	0.25	2.85	4.14	82.7		
22	-5.2	-11.3	0.06	2.09	8.53	85.09		
23	-3.2	-9.9	0	5.55	4.64	89.37		
24	-3.2	-18.4	0.14	2.47	8.39	81.15		
25	-13.1	-24.2	0.27	3.85	7.78	79.14		
26	-7.3	-21.5	0.43	3.68	4	87.7		
27	-1.9	-7.3	0.06	4.62	5.65	92.14		
28	-3.6	-17	0.06	3.32	5.4	87.24		
29	-8.6	-20	0.2	3.99	7.02	82.13		
30	-5.8	-16.9	0.32	1.51	8.46	84.05		
31	-8.2	-13.9	0	5.89	6.7	82.1		
32	-5.4	-12.1	0	4.49	11.27	85.98		
33	-5.1	-14.9	0.16	4.62	6.98	85.37		
34	-10.6	-17.6	0.07	8.05	10.08	77.78		
35	-15.5	-18.3	0	7.34	7.06	72.45		
36	-12.2	-18.1	0	8	9.65	76.2		
37	-14.1	-19	0.1	5.69	9.4	77.01		
38	-10	-18.8	0.3	6.37	7.56	77.91		
39	-7.6	-12.6	0.09	7.39	11.12	79.83		
40	-5.6	-13.5	0.15	4.82	10.08	83.98		
41	-7.5	-16.2	0.29	4.95	13.03	81.06		
42	-7	-15.4	0.4	6.06	10.69	84.99		
43	-6.5	-17.4	0	3.54	8.42	86		
44	-15.2	-19.2	0.1	6.8	6.05	84.71		
45	-11.7	-20.9	0.66	7.3	9.61	82.89		
46	-10.9	-25.5	0.46	5.63	8.35	82.42		
47	-8.7	-14.8	0.59	6.99	14.72	83.22		
48	-7.9	-14.7	0.13	5.02	6.84	88.19		
49	-8.7	-20.8	0.74	4.34	13.43	82.61		
50	2.7	-21.7	0.27	4.36	9.61	94.01		
51	3	-7.3	0.53	3.31	8.28	95.71		
52	0.9	-11	0.19	1.78	14.54	87.39		
53	1.1	-9.1	0.32	7.28	5	90.51		
54	-9	-15.5	0.3	5.89	11.59	75.43		
55	-4.2	-16.5	0	2.81	11.38	87.28		
56	-2.4	-10.5	0.21	7.35	3.28	89.65		
57	-2.4	-4.5	0.37	1.44	5.18	91.95		
58	0	-5.8	0.07	0.9	6.41	91.19		
59	-0.5	-10.3	0	1.74	16.38	75.32		
60	-0.9	-7.6	1.07	7.15	6.01	89.69		
61	0.4	-3	0.62	7.01	10.69	84.9		
62	-2.5	-4.6	0	6.81	8.64	80.63		
63	-3.8	-6.7	0.15	6.41	9.25	77.6		
64	-4.6	-18	0.06	8.57	10.84	76.55		
65	-14.9	-23.3	0.16	3.79	13.61	68.38		
66	-8.5	-21.8	0.32	1.97	11.48	71.39		
67	-4.7	-16.1	0.07	2.9	8.35	80.12		
68	1.3	-12.8	0	2.83	15.62	84.19		
69	3.7	-7.3	0.34	4.4	17.53	93.23		
70	1.3	-5	0.06	3.45	13.25	76.42		
71	3.8	-7.6	0	4.18	6.62	83.42		
72	8.8	0.5	0	5.04	13.5	94.11		
73	8.5	1	0.08	5.1	7.34	92.26		
74	1	-6.4	0.06	4.63	15.77	74.97		
75	-3.8	-7.4	0.07	6.67	9.04	70.9		
76	-1.6	-7.6	0.08	5.92	11.12	69.32		
77	-0.4	-7.9	0.06	4.31	10.33	71.83		
78	1.5	-8.2	0.33	5.19	2.34	89.47		
79	-3.4	-11.6	0.07	3.98	10.15	68.64		
80	7.2	-11.2	0.15	4.21	4.75	91.41		
81	10.3	-1.5	0.61	5.81	3.53	92.53		
82	9.6	-2	0	1.06	17.1	73.99		
83	5.9	0.4	0.45	3.06	4.79	93.18		
84	5.2	0.2	0	2.55	7.7	88.81		
85	19.3	1	0.39	4.46	13.68	93.75		
86	20.2	4.2	0	2.55	21.78	86.54		
