elora2002							
1	-4.8	-10.1	0.048	2.93	6.7	86.82	
2	-2.9	-13.4	0.02	3.6	6.3	89.51	
3	-2.1	-8	0.001	3.68	5.36	90.79	
4	-1.6	-7.5	0	5.91	5.65	85.17	
5	0.2	-3.6	0.062	4.99	6.44	90.4	
6	1.4	-2	0.391	2.9	3.71	95.49	
7	-5.4	-9.9	0.124	4.13	6.55	86.35	
8	-0.2	-12.2	0.007	6.5	4.5	87.28	
9	2.7	-4	0.07	7.1	7.99	95.29	
10	2.9	0.3	0.011	3.84	6.05	97.11	
11	2.5	-1.3	0.043	5.11	5.08	90.91	
12	2.9	-2.1	0.116	6.25	7.92	91.12	
13	-1.6	-4	0.045	6.29	4.21	82.19	
14	0.4	-10.5	0.397	3.62	3.28	92.78	
15	3	-3.1	0.554	5.51	4.97	94.18	
16	1.1	-7.7	0.313	3.69	4.79	88.32	
17	-0.8	-3.9	0.239	6.08	3.71	89.07	
18	-6.3	-7.9	0.122	4.97	4.93	82.35	
19	-4.5	-20.5	0.004	1.93	6.37	82.61	
20	-1	-14	0.002	5.01	5.54	89	
21	-0.3	-3.8	0.198	5.08	4.14	91.27	
22	4.1	-8.1	0.005	4.82	8.5	92.53	
23	5	-0.4	0.097	4.91	7.99	94.68	
24	2.6	-3.5	0.374	3.82	5.22	93.2	
25	2.8	-5.3	0.032	6.68	8.03	84.59	
26	4.5	0.2	0.003	5.83	6.48	82.88	
27	7.3	-1.7	0	5.73	8.53	87.41	
28	7.3	-0.1	0	3.21	9.04	91.83	
29	1.6	-0.8	0.121	2.59	6.52	89.69	
30	-2.4	-3.9	0.357	3.1	4.61	83.06	
31	-0.9	-7.9	1.835	6.48	2.99	90.05	
32	3.4	-7.5	1.579	7.22	5.33	92.98	
33	-2.1	-10.6	0.036	2.65	10.37	84.68	
34	-0.5	-9.4	0.075	5.62	7.34	87.58	
35	-10.3	-13.1	0.197	5.95	10.3	90.8	
36	-3.6	-18.6	0.018	5.71	9.5	89.95	
37	-2	-8.8	0.012	4.08	9.14	91.95	
38	1.6	-8.4	0.002	5.12	10.84	91.69	
39	1.3	-6	0.001	3.87	8.89	94.34	
40	-0.7	-7.1	0	4.33	6.52	91.28	
41	4.9	-4	0.214	5.62	7.63	94.19	
42	0.2	-14.9	0.149	5.45	12.28	72.96	
43	2	-9.7	0.112	8.37	6.26	81.96	
44	-3.9	-15.2	0.249	4.42	8.53	74.37	
45	2.3	-9.6	0.015	6.72	13.03	80.11	
46	2.9	-0.9	0.008	6.57	8.89	86.17	
47	2	-2.1	0.332	5.1	4.07	93.92	
48	-6.5	-8.6	0.052	6.02	8.17	80.56	
49	-1.6	-18.7	0	2.44	8.71	81.51	
50	4	-7.7	0.38	2.62	4.68	89.49	
51	8.6	-0.1	1.026	4.54	2.88	95.38	
52	3.4	-1.3	0.495	5.48	4.32	93.96	
53	-3.4	-7.1	0.05	4.45	11.45	78.13	
54	0.9	-10.5	0	1.78	14.51	74.68	
55	8.2	-2.8	0.001	3.8	14	76.75	
56	11	2	0.002	5.08	11.23	83.55	
57	6	-2.1	1.031	4.61	8.89	91.3	
58	-5.6	-7.5	0.269	7.53	9.65	76.51	
