elora2011									
1	9.8	-4	1.68	4.81	2.28	98.61			
2	-4	-7	0	5.82	5.53	64.53			
3	-2.4	-11.1	0	4.01	7.9	73.41			
4	-1.5	-7.6	0.38	4.09	5.6	86.73			
5	-5.8	-15.6	0	3.19	7.26	78.12			
6	-4.9	-15.8	0.47	2.55	5.3	83.54			
7	-8	-15.1	0	3.14	4.84	74.35			
8	-6.6	-15.5	0.06	2.77	6.66	82.32			
9	-7.4	-15.7	0.09	4.18	8.03	81.9			
10	-5.8	-17.1	0	2.53	7.84	81.7			
11	-6	-11.2	0.22	5.06	4.62	88.25			
12	-8.5	-10.5	0.26	5.29	4.45	80.27			
13	-7.7	-15.2	0.07	2.61	6.78	79.79			
14	-5.8	-14.2	0.06	1.45	7.17	81.88			
15	-4.1	-9.5	0.315	5.7	3.71	87.51			
16	-7.4	-22.4	0.07	4.1	6.35	74.5			
17	-4.7	-21.6	0	3.1	6.56	84.53			
18	1	-5.3	0.17	4.18	3.87	94.66			
19	-5.3	-16.3	0	3.56	4.41	82.48			
20	-8.3	-17.9	0.15	2.23	6.48	81.35			
21	-8.2	-19	0.18	5.53	7.61	79.66			
22	-11.6	-19.3	0.12	3.95	7.13	79.78			
23	-14.1	-26	0.27	3.54	10.23	76.13			
24	-9.1	-26.2	0.31	2.69	8.05	88.5			
25	-5.6	-13.1	0.01	3.35	5.54	90.39			
26	-2.1	-6.3	0	1.58	5.08	87.99			
27	-3.2	-8.2	0.07	2.73	5.73	86.6			
28	-3.6	-7.9	0	2.59	5.24	88.52			
29	-4.7	-15.5	0.07	1.88	8.17	83.85			
30	-7.7	-21.2	0.06	2.85	9.93	83.05			
31	-12.3	-23.9	0	3.67	8.51	82.37			
32	-9.5	-13.5	0	7.01	6.61	85.21			
33	-9.6	-15.9	0.53	5.36	4.77	90.92			
34	-6.7	-21.5	0	4.81	10.53	90.69			
35	-7.6	-13.2	0	6	7.24	84.11			
36	-3.1	-14.6	0.76	3.23	5.93	90.8			
37	-2.8	-5.6	0.13	3.78	6.75	92.34			
38	-1.2	-11.2	0.06	2.81	5.52	93.55			
39	-11.1	-17.6	0.06	5.23	10.58	80.77			
40	-9.6	-18.4	0	7.07	11.05	83.5			
41	-12.3	-22.6	0.12	5.2	11.06	79.34			
42	-6.8	-25.5	0.16	4.17	11.77	90.66			
43	-4.8	-13.3	0	6.02	9.96	84.66			
44	4.8	-11.5	0.1	6.15	8.24	94.1			
45	4.5	-12.8	0.13	8.06	7.53	92.42			
46	-5.4	-19.8	0.038	1.99	14.33	75.2			
47	3.1	-9.8	0.06	3.3	8.72	91.69			
48	7.6	-4.7	0.06	4.72	10.3	97.41			
49	6.9	-1.7	0.09	9.81	14.78	75.61			
50	-1.7	-8.4	0.2	9.22	12.11	65.85			
51	-2.1	-13.9	0.21	2.99	14.33	75.61			
52	-7.2	-12.8	0.13	7.06	11.88	71.04			
53	-4.4	-15.8	0	4.1	16.25	74.97			
54	0.6	-14.5	0.12	2.01	16.34	83.99			
55	-0.3	-7.3	0.06	2.33	9.71	91.51			
56	-1.6	-12.4	0.34	5.83	9.35	82.15			
57	-3.8	-10.7	0.55	2.29	9.74	87.99			
58	0.7	-5.4	0.25	3.11	6.36	92.07			
59	1.2	-7.1	1.7	5.22	14.56	85.31			
60	0.5	-12.4	0.08	3.82	14.84	78.11			
61	0.3	-15.5	0	6.1	13.46	74.73			
62	-4.3	-16.4	0.06	2.5	-99	70.88			
63	2.8	-6.9	0.57	4.85	6.39	90.05			
64	5	-4.8	2.16	5.11	4.43	96.73			
65	-2.4	-11.6	0.2	5.41	10.07	81.75			
66	-3.1	-14.4	0.14	2.28	14.87	70.75			
67	0.1	-10.6	0.03	3.45	15.16	76.34			
68	2.4	-3	1.55	5.6	4.69	93.5			
69	3.2	1.4	1.55	3.16	4.84	97.22			
70	2.1	-1.9	0.97	6.12	7.19	91.37			
71	0.9	-4.2	0.101	4.36	7.49	91.05			
72	-0.4	-4.8	0.07	4.19	7.36	84.96			
73	1.8	-8.3	0	1.84	16.38	74.39			
74	4.5	-8.9	0.21	2.62	15.16	81.81			
75	8.4	0.7	0.297	3.56	14.51	86.74			
76	12.3	-1.6	0	5.9	19.5	87.53			
77	12.2	-0.8	0	5.5	15.42	83.7			
78	-0.1	-4.7	0	2.93	16.14	76.34			
79	3.7	-6.2	0	3.68	17.26	79.09			
80	5.2	0.1	0.632	3.68	7.19	91.11			
81	3	-1.2	0	3.13	11.97	82.69			
82	-1.2	-6.5	0.79	7.32	5.06	83.48			
83	-4.3	-13.8	0	4.65	17.78	72.86			
84	-4.1	-17.9	0.08	3.22	13.59	69.27			
85	-4.5	-17.6	0.07	3	16.28	70.14			
86	-4.4	-14.3	0	3.61	18.88	68.34			
87	-2.1	-14.9	0.11	3.55	18.33	70.81			
88	1.7	-10.6	0	2.78	21.4	73.81			
89	5.6	-8.2	0	1.83	21.89	77.34			
90	4.1	-1.5	0	1.85	12.51	83.66			
91	6.5	-1.7	0	2.62	21.15	71.92			
92	8.2	-2.5	0	4.03	19.73	68.99			
93	7.4	-1.2	0.82	3.44	10.98	79.18			
94	14.9	0.5	1.07	5.7	9.65	99.61			
95	2.7	-1.6	0	5.95	12.17	73.36			
96	5.3	-2.2	0	2.01	8.56	88.18			
97	10.6	-2.5	0.06	1.14	19.37	73.51			
